,lat,lon,DXYP__
158,-88.0,-145.0,2160141600.0
159,-88.0,-142.5,2160141600.0
160,-88.0,-140.0,2160141600.0
161,-88.0,-137.5,2160141600.0
162,-88.0,-135.0,2160141600.0
163,-88.0,-132.5,2160141600.0
164,-88.0,-130.0,2160141600.0
165,-88.0,-127.5,2160141600.0
166,-88.0,-125.0,2160141600.0
167,-88.0,-122.5,2160141600.0
168,-88.0,-120.0,2160141600.0
169,-88.0,-117.5,2160141600.0
170,-88.0,-115.0,2160141600.0
171,-88.0,-112.5,2160141600.0
172,-88.0,-110.0,2160141600.0
173,-88.0,-107.5,2160141600.0
174,-88.0,-105.0,2160141600.0
175,-88.0,-102.5,2160141600.0
176,-88.0,-100.0,2160141600.0
177,-88.0,-97.5,2160141600.0
178,-88.0,-95.0,2160141600.0
179,-88.0,-92.5,2160141600.0
180,-88.0,-90.0,2160141600.0
181,-88.0,-87.5,2160141600.0
182,-88.0,-85.0,2160141600.0
183,-88.0,-82.5,2160141600.0
184,-88.0,-80.0,2160141600.0
185,-88.0,-77.5,2160141600.0
186,-88.0,-75.0,2160141600.0
187,-88.0,-72.5,2160141600.0
188,-88.0,-70.0,2160141600.0
189,-88.0,-67.5,2160141600.0
190,-88.0,-65.0,2160141600.0
191,-88.0,-62.5,2160141600.0
192,-88.0,-60.0,2160141600.0
193,-88.0,-57.5,2160141600.0
194,-88.0,-55.0,2160141600.0
195,-88.0,-52.5,2160141600.0
196,-88.0,-50.0,2160141600.0
197,-88.0,-47.5,2160141600.0
198,-88.0,-45.0,2160141600.0
199,-88.0,-42.5,2160141600.0
200,-88.0,-40.0,2160141600.0
201,-88.0,-37.5,2160141600.0
202,-88.0,-35.0,2160141600.0
203,-88.0,-32.5,2160141600.0
204,-88.0,-30.0,2160141600.0
205,-88.0,-27.5,2160141600.0
206,-88.0,-25.0,2160141600.0
207,-88.0,-22.5,2160141600.0
208,-88.0,-20.0,2160141600.0
209,-88.0,-17.5,2160141600.0
210,-88.0,-15.0,2160141600.0
211,-88.0,-12.5,2160141600.0
212,-88.0,-10.0,2160141600.0
213,-88.0,-7.5,2160141600.0
214,-88.0,-5.0,2160141600.0
215,-88.0,-2.5,2160141600.0
216,-88.0,0.0,2160141600.0
217,-88.0,2.5,2160141600.0
218,-88.0,5.0,2160141600.0
219,-88.0,7.5,2160141600.0
220,-88.0,10.0,2160141600.0
221,-88.0,12.5,2160141600.0
222,-88.0,15.0,2160141600.0
223,-88.0,17.5,2160141600.0
224,-88.0,20.0,2160141600.0
225,-88.0,22.5,2160141600.0
226,-88.0,25.0,2160141600.0
227,-88.0,27.5,2160141600.0
228,-88.0,30.0,2160141600.0
229,-88.0,32.5,2160141600.0
230,-88.0,35.0,2160141600.0
231,-88.0,37.5,2160141600.0
232,-88.0,40.0,2160141600.0
233,-88.0,42.5,2160141600.0
234,-88.0,45.0,2160141600.0
235,-88.0,47.5,2160141600.0
236,-88.0,50.0,2160141600.0
237,-88.0,52.5,2160141600.0
238,-88.0,55.0,2160141600.0
239,-88.0,57.5,2160141600.0
